year,n_available,top_n,slope,se,intercept
1897,43,20,-1.173,0.3709,13.6329
1897,43,30,-1.1324,0.2924,13.2144
1923,78,20,-1.0186,0.3221,11.8701
1923,78,30,-1.0496,0.271,12.1921
1923,78,50,-1.0364,0.2073,12.0662
1926,81,20,-0.987,0.3121,11.6573
1926,81,30,-1.0004,0.2583,11.7964
1926,81,50,-1.0091,0.2018,11.8867
1939,122,20,-1.1628,0.3677,14.3757
1939,122,30,-1.1204,0.2893,13.9047
1939,122,50,-1.0008,0.2002,12.6227
1959,191,20,-1.0636,0.3364,13.5889
1959,191,30,-0.9817,0.2535,12.6546
1959,191,50,-0.9496,0.1899,12.2979
1970,200,20,-1.1246,0.3556,14.8349
1970,200,30,-1.0155,0.2622,13.5385
1970,200,50,-0.9067,0.1813,12.2889
1979,203,20,-1.1315,0.3578,15.2766
1979,203,30,-0.9984,0.2578,13.6542
1979,203,50,-0.8902,0.178,12.3769
1989,207,20,-1.1337,0.3585,15.5745
1989,207,30,-1.0105,0.2609,14.0467
1989,207,50,-0.8878,0.1776,12.5725
1999,207,20,-1.1628,0.3677,15.9881
1999,207,30,-1.0258,0.2649,14.2873
1999,207,50,-0.8891,0.1778,12.6384
2009,217,20,-1.1213,0.3546,15.4931
2009,217,30,-0.9963,0.2572,13.9393
2009,217,50,-0.8639,0.1728,12.3416
2019,199,20,-1.0764,0.3404,14.963
2019,199,30,-0.9651,0.2492,13.5812
2019,199,50,-0.8579,0.1716,12.2831
2026,197,20,-1.0607,0.3354,14.7467
2026,197,30,-0.9532,0.2461,13.4142
2026,197,50,-0.8604,0.1721,12.2907
