territory_id,ru,oblast,class,np_prk_2021,np_po_2021,np_posl_2021,np_prk_2016,np_po_2016,np_posl_2016,closed_area_ha
r-barysauski,Борисовский район,BY-MI,0,6,0,0,9,0,0,
r-bialynicki,Белыничский район,BY-MA,0,39,0,0,46,0,0,
r-biarezinski,Березинский район,BY-MI,0,10,0,0,11,0,0,
r-brahinski,Брагинский район,BY-HO,1,49,26,0,44,34,0,71564.5
r-buda-kashalouski,Буда-Кошелёвский район,BY-HO,2,171,7,1,177,15,1,4016.3
r-bychauski,Быховский район,BY-MA,0,169,3,0,172,4,0,
r-chacherski,Чечерский район,BY-HO,2,66,26,0,61,29,4,24261.0
r-chavuski,Чаусский район,BY-MA,0,67,4,0,72,5,0,
r-cherykauski,Чериковский район,BY-MA,2,64,15,1,63,17,1,12990.7
r-chojnicki,Хойникский район,BY-HO,1,16,30,1,13,35,2,88331.9
r-dobrushski,Добрушский район,BY-HO,2,21,8,1,19,11,1,22960.3
r-drahichynski,Дрогичинский район,BY-BR,0,2,0,0,5,0,0,
r-dziatlauski,Дятловский район,BY-HR,0,14,0,0,22,0,0,
r-homielski,Гомельский район,BY-HO,0,62,0,0,66,0,0,
r-iujeuski,Ивьевский район,BY-HR,0,43,0,0,50,0,0,
r-jelski,Ельский район,BY-HO,0,53,12,0,48,18,0,
r-kalinkavicki,Калинковичский район,BY-HO,0,33,0,0,41,0,0,
r-karmianski,Кормянский район,BY-HO,2,51,14,0,44,22,0,10546.4
r-kasciukovicki,Костюковичский район,BY-MA,2,20,4,0,16,9,1,17926.3
r-kirauski,Кировский район,BY-MA,0,0,0,0,2,0,0,
r-klichauski,Кличевский район,BY-MA,0,14,0,0,16,0,0,
r-klimavicki,Климовичский район,BY-MA,0,4,1,0,4,1,0,534.1
r-krasnapolski,Краснопольский район,BY-MA,2,71,12,1,71,13,1,26176.5
r-krupski,Крупский район,BY-MI,0,1,0,0,1,0,0,
r-krychauski,Кричевский район,BY-MA,0,35,0,0,36,1,0,
r-lahojski,Логойский район,BY-MI,0,5,0,0,9,0,0,
r-lelchycki,Лельчицкий район,BY-HO,0,45,1,0,49,1,0,
r-lojeuski,Лоевский район,BY-HO,0,19,3,0,23,4,0,
r-luniniecki,Лунинецкий район,BY-BR,0,43,0,0,45,0,0,
r-mahilouski,Могилёвский район,BY-MA,0,64,1,0,72,1,0,
r-maladziechanski,Молодечненский район,BY-MI,0,6,0,0,7,0,0,
r-mazyrski,Мозырский район,BY-HO,0,37,0,0,39,0,0,
r-mscislauski,Мстиславский район,BY-MA,0,1,0,0,1,0,0,
r-naraulanski,Наровлянский район,BY-HO,1,10,25,0,8,26,1,70426.8
r-navahrudski,Новогрудский район,BY-HR,0,9,0,0,12,0,0,
r-pinski,Пинский район,BY-BR,0,6,0,0,7,0,0,
r-rahachouski,Рогачёвский район,BY-HO,0,99,4,0,97,9,0,
r-rechycki,Речицкий район,BY-HO,0,106,0,0,130,0,0,
r-salihorski,Солигорский район,BY-MI,0,9,0,0,11,0,0,
r-slauharadski,Славгородский район,BY-MA,2,41,29,0,32,41,0,7678.0
r-slucki,Слуцкий район,BY-MI,0,0,0,0,1,0,0,
r-staubcouski,Столбцовский район,BY-MI,0,2,0,0,2,0,0,
r-stolinski,Столинский район,BY-BR,0,40,3,0,42,5,0,
r-svietlahorski,Светлогорский район,BY-HO,0,4,0,0,5,0,0,
r-valozhynski,Воложинский район,BY-MI,0,23,0,0,31,1,0,
r-vietkauski,Ветковский район,BY-HO,2,36,43,0,28,51,1,79634.0
r-vilejski,Вилейский район,BY-MI,0,7,0,0,8,0,0,
r-zhlobinski,Жлобинский район,BY-HO,0,34,0,0,37,0,0,
r-zhytkavicki,Житковичский район,BY-HO,0,19,0,0,22,0,0,
