indicator,geo,year,value,source
resvalid_stock,CZ,2019,7144,Eurostat migr_resvalid
resvalid_stock,CZ,2020,7118,Eurostat migr_resvalid
resvalid_stock,CZ,2021,8020,Eurostat migr_resvalid
resvalid_stock,CZ,2022,7786,Eurostat migr_resvalid
resvalid_stock,CZ,2023,7438,Eurostat migr_resvalid
resvalid_stock,CZ,2024,7299,Eurostat migr_resvalid
resvalid_stock,DE,2019,17681,Eurostat migr_resvalid
resvalid_stock,DE,2020,17174,Eurostat migr_resvalid
resvalid_stock,DE,2021,19993,Eurostat migr_resvalid
resvalid_stock,DE,2022,22087,Eurostat migr_resvalid
resvalid_stock,DE,2023,23360,Eurostat migr_resvalid
resvalid_stock,DE,2024,20633,Eurostat migr_resvalid
resvalid_stock,EE,2019,2222,Eurostat migr_resvalid
resvalid_stock,EE,2020,2424,Eurostat migr_resvalid
resvalid_stock,EE,2021,2804,Eurostat migr_resvalid
resvalid_stock,EE,2022,3034,Eurostat migr_resvalid
resvalid_stock,EE,2023,2983,Eurostat migr_resvalid
resvalid_stock,EE,2024,2859,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2019,133889,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2020,145177,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2021,232301,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2022,424312,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2023,446480,Eurostat migr_resvalid
resvalid_stock,EU27_2020,2024,386834,Eurostat migr_resvalid
resvalid_stock,LT,2019,18665,Eurostat migr_resvalid
resvalid_stock,LT,2020,24434,Eurostat migr_resvalid
resvalid_stock,LT,2021,32249,Eurostat migr_resvalid
resvalid_stock,LT,2022,50038,Eurostat migr_resvalid
resvalid_stock,LT,2023,63255,Eurostat migr_resvalid
resvalid_stock,LT,2024,58632,Eurostat migr_resvalid
resvalid_stock,LV,2019,3782,Eurostat migr_resvalid
resvalid_stock,LV,2020,3701,Eurostat migr_resvalid
resvalid_stock,LV,2021,4213,Eurostat migr_resvalid
resvalid_stock,LV,2022,4153,Eurostat migr_resvalid
resvalid_stock,LV,2023,4314,Eurostat migr_resvalid
resvalid_stock,LV,2024,4266,Eurostat migr_resvalid
resvalid_stock,PL,2019,55902,Eurostat migr_resvalid
resvalid_stock,PL,2020,61533,Eurostat migr_resvalid
resvalid_stock,PL,2021,133595,Eurostat migr_resvalid
resvalid_stock,PL,2022,301611,Eurostat migr_resvalid
resvalid_stock,PL,2023,306447,Eurostat migr_resvalid
resvalid_stock,PL,2024,251362,Eurostat migr_resvalid
first_permits,EU27_2020,2015,81438,Eurostat migr_resfirst
first_permits,EU27_2020,2016,34976,Eurostat migr_resfirst
first_permits,EU27_2020,2017,51442,Eurostat migr_resfirst
first_permits,EU27_2020,2018,63254,Eurostat migr_resfirst
first_permits,EU27_2020,2019,70222,Eurostat migr_resfirst
first_permits,EU27_2020,2020,63920,Eurostat migr_resfirst
first_permits,EU27_2020,2021,150028,Eurostat migr_resfirst
first_permits,EU27_2020,2022,311516,Eurostat migr_resfirst
first_permits,EU27_2020,2023,281503,Eurostat migr_resfirst
first_permits,EU27_2020,2024,174712,Eurostat migr_resfirst
first_permits,LT,2015,768,Eurostat migr_resfirst
first_permits,LT,2016,1207,Eurostat migr_resfirst
first_permits,LT,2017,2874,Eurostat migr_resfirst
first_permits,LT,2018,3472,Eurostat migr_resfirst
first_permits,LT,2019,7121,Eurostat migr_resfirst
first_permits,LT,2020,7455,Eurostat migr_resfirst
first_permits,LT,2021,9828,Eurostat migr_resfirst
first_permits,LT,2022,15147,Eurostat migr_resfirst
first_permits,LT,2023,16174,Eurostat migr_resfirst
first_permits,LT,2024,15812,Eurostat migr_resfirst
first_permits,PL,2015,75394,Eurostat migr_resfirst
first_permits,PL,2016,28165,Eurostat migr_resfirst
first_permits,PL,2017,42984,Eurostat migr_resfirst
first_permits,PL,2018,52581,Eurostat migr_resfirst
first_permits,PL,2019,54107,Eurostat migr_resfirst
first_permits,PL,2020,50923,Eurostat migr_resfirst
first_permits,PL,2021,130903,Eurostat migr_resfirst
first_permits,PL,2022,285496,Eurostat migr_resfirst
first_permits,PL,2023,255595,Eurostat migr_resfirst
first_permits,PL,2024,151116,Eurostat migr_resfirst
cards_stock,PL,2026,144219,UDSC 01.01.2026
cards_stock,PL,2024,125000,FREE brief (UDSC)
cards_stock,PL,2019,17000,UDSC via ЦНИ/Коршунов
settled_stock,GE,2025,12800,Лузгина/BEROC
