city_id,osm_relation_id,admin_level,matched_name,admin_area_km2
c-ashmiany,3534722,8,Ашмяны,9.68
c-asipovichy,6722697,8,Асіповічы,21.15
c-astraviec,6722443,8,Астравец,22.47
c-babrujsk,167857,6,Бабруйск,96.28
c-baran,6722322,8,Барань,3.73
c-baranavichy,3629362,6,Баранавічы,84.95
c-barysau,1749244,8,Барысаў,57.09
c-bialynichy,6722635,8,Бялынічы,10.31
c-biaroza,5599322,8,Бяроза,20.01
c-biarozauka,6722391,8,Бярозаўка,10.64
c-bielaaziorsk,5602431,8,Белаазёрск,4.98
c-bierazino,6722487,8,Беразіно,12.55
c-braslau,1180581,8,Браслаў,8.90
c-brest,72615,6,Брэст,146.04
c-bychau,6722642,8,Быхаў,21.21
c-chashniki,1180571,8,Чашнікі,8.50
c-chavusy,8140439,8,Каменскі сельскі Савет,238.28
c-chervien,6722634,8,Чэрвень,7.58
c-chojniki,5598992,8,Хойнікі,16.09
c-dobrush,5598556,8,Добруш,19.11
c-drahichyn,5602445,8,Драгічын,14.06
c-dziarzhynsk,6722498,8,Дзяржынск,13.95
c-fanipal,6722508,8,Фаніпаль,8.07
c-hancavichy,5602434,8,Ганцавічы,10.33
c-haradok,1173272,8,Гарадок,12.84
c-hlybokaje,1176300,8,Глыбокае,17.31
c-homiel,163244,6,Гомель,144.92
c-horki,6722644,8,Горкі,22.38
c-hrodna,130921,6,Гродна,141.72
c-ivacevichy,5602737,8,Івацэвічы,11.23
c-ivanava,5602706,8,Іванава,13.69
c-jelsk,5598567,8,Ельск,11.12
c-kalinkavichy,5598615,8,Калінкавічы,20.17
c-kapyl,6722510,8,Капыль,9.43
c-kasciukovichy,6722678,8,Касцюковічы,16.60
c-kleck,6722509,8,Клецк,8.52
c-klimavichy,8067507,8,Лабжанскі сельскі Савет,191.13
c-kobryn,6722171,8,Кобрын,32.27
c-krychau,6722694,8,Крычаў,23.35
c-lachavichy,6722260,8,Ляхавічы,7.96
c-lahojsk,6722549,8,Лагойск,8.73
c-lelchycy,5598625,8,Лельчыцы,9.58
c-lepiel,1180576,8,Лепель,21.60
c-lida,400507,8,Ліда,47.37
c-luban,6722550,8,Любань,8.40
c-luniniec,6722245,8,Лунінец,18.33
c-machulishchy,4755556,8,Мачулішчы,10.73
c-mahilou,62145,6,Магілёў,115.12
c-maladziechna,6722552,8,Маладзечна,33.28
c-malaryta,6722277,8,Маларыта,9.55
c-marjina-horka,6722591,8,Марʼіна Горка,15.83
c-masty,6722419,8,Масты,12.26
c-mazyr,5598638,8,Мазыр,42.73
c-mikashevichy,6722251,8,Мікашэвічы,8.23
c-minsk,59195,4,Мінск,352.61
c-mscislau,6722696,8,Мсціслаў,14.94
c-naroula,5598639,8,Нароўля,10.28
c-navahrudak,6722420,8,Навагрудак,13.75
c-navapolack,6825778,6,Наваполацк,64.53
c-niasvizh,6722576,8,Нясвіж,11.87
c-novalukoml,4680037,8,Лукомльскі сельскі Савет,231.07
c-orsha,178128,8,Орша,38.59
c-pastavy,1180589,8,Паставы,18.63
c-pietrykau,5598656,8,Петрыкаў,7.99
c-pinsk,1749248,6,Пінск,47.67
c-polack,1749243,8,Полацк,42.04
c-pruzhany,6722278,8,Пружаны,12.91
c-rahachou,3551849,8,Рагачоў,20.21
c-rechyca,5598659,8,Рэчыца,30.46
c-salihorsk,6722606,8,Салігорск,21.81
c-shchuchyn,6722486,8,Шчучын,14.27
c-shklou,4684730,8,Шклоў,18.85
c-skidziel,4784300,8,Скідзель,12.17
c-slonim,6722458,8,Слонім,40.12
c-sluck,6722597,8,Слуцк,32.45
c-smalavichy,6722598,8,Смалявічы,17.74
c-smarhon,6722463,8,Смаргонь,20.83
c-staryja-darohi,6722616,8,Старыя Дарогі,6.62
c-stolin,6722280,8,Столін,12.78
c-stoubcy,6722620,8,Стоўбцы,13.03
c-svietlahorsk,5598676,8,Светлагорск,26.05
c-talachyn,6722347,8,Талачын,11.07
c-uzda,6722622,8,Узда,7.73
c-valozhyn,8014022,8,Валожынскі сельскі Савет,365.25
c-vasilevichy,5598662,8,Васілевічы,8.89
c-vaukavysk,6722368,8,Ваўкавыск,28.45
c-viciebsk,6825777,6,Віцебск,134.42
c-vietka,4679831,8,Ветка,7.53
c-vilejka,5549061,8,Вілейка,19.27
c-zaslauje,6722551,8,Заслаўе,20.36
c-zhabinka,5602690,8,Жабінка,14.48
c-zhlobin,5598358,8,Жлобін,39.13
c-zhodzina,79911,6,Жодзіна,25.12
c-zhytkavichy,5598580,8,Жыткавічы,14.97
