city_id,class_group,length_km
__national__,local,73771.502
__national__,major,76962.192
c-ashmiany,local,87.140
c-ashmiany,major,40.337
c-asipovichy,local,110.426
c-asipovichy,major,49.624
c-astraviec,local,47.646
c-astraviec,major,48.927
c-babrujsk,local,323.560
c-babrujsk,major,138.993
c-baran,local,96.158
c-baran,major,26.249
c-baranavichy,local,331.088
c-baranavichy,major,158.682
c-barysau,local,358.327
c-barysau,major,114.474
c-bialynichy,local,44.245
c-bialynichy,major,27.350
c-biaroza,local,84.779
c-biaroza,major,43.870
c-biarozauka,local,29.056
c-biarozauka,major,15.501
c-bielaaziorsk,local,68.190
c-bielaaziorsk,major,44.021
c-bierazino,local,70.267
c-bierazino,major,32.771
c-braslau,local,51.374
c-braslau,major,25.921
c-brest,local,425.561
c-brest,major,260.683
c-bychau,local,81.342
c-bychau,major,28.607
c-chashniki,local,45.067
c-chashniki,major,22.670
c-chavusy,local,48.084
c-chavusy,major,17.420
c-chervien,local,73.811
c-chervien,major,35.590
c-chojniki,local,47.182
c-chojniki,major,22.210
c-dobrush,local,105.807
c-dobrush,major,27.976
c-drahichyn,local,69.642
c-drahichyn,major,38.269
c-dziarzhynsk,local,91.388
c-dziarzhynsk,major,47.208
c-fanipal,local,70.088
c-fanipal,major,46.184
c-hancavichy,local,63.914
c-hancavichy,major,25.363
c-haradok,local,58.909
c-haradok,major,20.558
c-hlybokaje,local,63.259
c-hlybokaje,major,53.962
c-homiel,local,348.184
c-homiel,major,236.766
c-horki,local,99.120
c-horki,major,38.819
c-hrodna,local,401.376
c-hrodna,major,289.130
c-ivacevichy,local,103.368
c-ivacevichy,major,54.019
c-ivanava,local,114.086
c-ivanava,major,39.453
c-jelsk,local,49.043
c-jelsk,major,19.162
c-kalinkavichy,local,110.448
c-kalinkavichy,major,62.371
c-kapyl,local,50.546
c-kapyl,major,30.154
c-kasciukovichy,local,62.413
c-kasciukovichy,major,32.740
c-kleck,local,56.426
c-kleck,major,28.916
c-klimavichy,local,109.792
c-klimavichy,major,42.686
c-kobryn,local,245.726
c-kobryn,major,97.399
c-krychau,local,135.980
c-krychau,major,38.062
c-lachavichy,local,42.614
c-lachavichy,major,24.054
c-lahojsk,local,77.708
c-lahojsk,major,36.266
c-lelchycy,local,80.442
c-lelchycy,major,18.215
c-lepiel,local,90.106
c-lepiel,major,41.189
c-lida,local,141.719
c-lida,major,90.177
c-luban,local,49.152
c-luban,major,26.668
c-luniniec,local,103.581
c-luniniec,major,37.725
c-machulishchy,local,26.397
c-machulishchy,major,12.116
c-mahilou,local,587.040
c-mahilou,major,282.527
c-maladziechna,local,220.805
c-maladziechna,major,85.312
c-malaryta,local,56.743
c-malaryta,major,20.518
c-marjina-horka,local,125.929
c-marjina-horka,major,42.833
c-masty,local,74.313
c-masty,major,41.997
c-mazyr,local,179.986
c-mazyr,major,95.431
c-mikashevichy,local,52.584
c-mikashevichy,major,17.791
c-minsk,local,1244.235
c-minsk,major,1313.103
c-mscislau,local,72.435
c-mscislau,major,31.302
c-naroula,local,43.609
c-naroula,major,15.743
c-navahrudak,local,85.756
c-navahrudak,major,44.444
c-navapolack,local,50.532
c-navapolack,major,68.788
c-niasvizh,local,82.699
c-niasvizh,major,35.008
c-novalukoml,local,22.982
c-novalukoml,major,11.236
c-orsha,local,164.274
c-orsha,major,102.017
c-pastavy,local,61.221
c-pastavy,major,44.007
c-pietrykau,local,48.273
c-pietrykau,major,24.065
c-pinsk,local,315.635
c-pinsk,major,116.195
c-polack,local,204.111
c-polack,major,103.381
c-pruzhany,local,81.964
c-pruzhany,major,39.203
c-rahachou,local,78.420
c-rahachou,major,19.158
c-rechyca,local,215.677
c-rechyca,major,75.206
c-salihorsk,local,75.119
c-salihorsk,major,77.053
c-shchuchyn,local,53.282
c-shchuchyn,major,33.342
c-shklou,local,79.056
c-shklou,major,25.138
c-skidziel,local,37.328
c-skidziel,major,29.406
c-slonim,local,148.930
c-slonim,major,85.866
c-sluck,local,153.530
c-sluck,major,93.498
c-smalavichy,local,70.533
c-smalavichy,major,47.566
c-smarhon,local,71.712
c-smarhon,major,53.497
c-staryja-darohi,local,50.617
c-staryja-darohi,major,18.522
c-stolin,local,116.944
c-stolin,major,42.183
c-stoubcy,local,93.562
c-stoubcy,major,41.233
c-svietlahorsk,local,94.362
c-svietlahorsk,major,62.370
c-talachyn,local,59.685
c-talachyn,major,27.870
c-uzda,local,52.983
c-uzda,major,22.157
c-valozhyn,local,48.227
c-valozhyn,major,36.715
c-vasilevichy,local,37.484
c-vasilevichy,major,14.672
c-vaukavysk,local,125.027
c-vaukavysk,major,57.291
c-viciebsk,local,503.424
c-viciebsk,major,289.417
c-vietka,local,34.569
c-vietka,major,22.111
c-vilejka,local,103.791
c-vilejka,major,47.803
c-zaslauje,local,97.969
c-zaslauje,major,42.104
c-zhabinka,local,92.388
c-zhabinka,major,30.293
c-zhlobin,local,184.063
c-zhlobin,major,82.971
c-zhodzina,local,113.294
c-zhodzina,major,59.033
c-zhytkavichy,local,78.631
c-zhytkavichy,major,31.915
