city_id,period,primary_type,agreement_score,alternative_types,boundary_sensitive,time_sensitive,quality_class,quality_reasons
c-ashmiany,1990-2020,T1,1.0,,0,0,A,
c-asipovichy,1990-2020,T4,1.0,,0,0,A,
c-astraviec,1990-2020,T1,0.889,TX,0,0,A,
c-babrujsk,1990-2020,T4,1.0,,0,0,A,
c-baran,1990-2020,T4,1.0,,0,0,A,
c-baranavichy,1990-2020,T1,1.0,,0,0,A,
c-barysau,1990-2020,T4,1.0,,0,0,A,
c-bialynichy,1990-2020,T4,1.0,,0,0,A,
c-biaroza,1990-2020,T1,1.0,,0,0,A,
c-biarozauka,1990-2020,T4,1.0,,0,0,A,
c-bielaaziorsk,1990-2020,TX,1.0,,0,0,A,
c-bierazino,1990-2020,T4,1.0,,0,0,A,
c-braslau,1990-2020,T4,1.0,,0,0,A,
c-brest,1990-2020,T1,1.0,,0,0,A,
c-bychau,1990-2020,T4,1.0,,0,0,A,
c-chashniki,1990-2020,T4,1.0,,0,0,A,
c-chavusy,1990-2020,T4,1.0,,0,0,A,
c-chervien,1990-2020,T4,1.0,,0,0,A,
c-chojniki,1990-2020,T4,1.0,,0,0,A,
c-dobrush,1990-2020,T4,1.0,,0,0,A,
c-drahichyn,1990-2020,T1,0.889,T2,0,0,A,
c-dziarzhynsk,1990-2020,T1,1.0,,0,0,A,
c-fanipal,1990-2020,T1,1.0,,0,0,C,"нет опорных точек [1970, 1979]"
c-hancavichy,1990-2020,T4,1.0,,0,0,A,
c-haradok,1990-2020,T4,1.0,,0,0,A,
c-hlybokaje,1990-2020,TX,1.0,,0,0,A,
c-homiel,1990-2020,TX,1.0,,0,0,A,
c-horki,1990-2020,T4,1.0,,0,0,A,
c-hrodna,1990-2020,T1,0.889,TX,0,0,A,
c-ivacevichy,1990-2020,T1,1.0,,0,0,A,
c-ivanava,1990-2020,T1,1.0,,0,0,A,
c-jelsk,1990-2020,T4,1.0,,0,0,A,
c-kalinkavichy,1990-2020,T4,1.0,,0,0,A,
c-kapyl,1990-2020,T1,1.0,,0,0,A,
c-kasciukovichy,1990-2020,T1,1.0,,0,0,A,
c-kleck,1990-2020,T1,1.0,,0,0,A,
c-klimavichy,1990-2020,T4,1.0,,0,0,A,
c-kobryn,1990-2020,T1,1.0,,0,0,A,
c-krychau,1990-2020,T4,1.0,,0,0,A,
c-lachavichy,1990-2020,TX,1.0,,0,0,A,
c-lahojsk,1990-2020,T1,1.0,,0,0,A,
c-lelchycy,1990-2020,T1,1.0,,0,0,A,
c-lepiel,1990-2020,T4,1.0,,0,0,A,
c-lida,1990-2020,T1,1.0,,0,0,A,
c-luban,1990-2020,T1,0.889,T2,0,0,A,
c-luniniec,1990-2020,TX,1.0,,0,0,A,
c-machulishchy,1990-2020,TX,1.0,,0,0,C,нет метрик главного интервала
c-mahilou,1990-2020,TX,1.0,,0,0,A,
c-maladziechna,1990-2020,TX,1.0,,0,0,A,
c-malaryta,1990-2020,T1,1.0,,0,0,A,
c-marjina-horka,1990-2020,T1,0.889,T2,0,0,A,
c-masty,1990-2020,T4,1.0,,0,0,A,
c-mazyr,1990-2020,T1,1.0,,0,0,A,
c-mikashevichy,1990-2020,TX,1.0,,0,0,A,
c-minsk,1990-2020,T1,1.0,,0,0,A,
c-mscislau,1990-2020,T4,1.0,,0,0,A,
c-naroula,1990-2020,T3,1.0,,0,0,A,
c-navahrudak,1990-2020,T4,1.0,,0,0,A,
c-navapolack,1990-2020,T1,0.889,T2,0,0,A,
c-niasvizh,1990-2020,T1,0.889,T2,0,0,A,
c-novalukoml,1990-2020,T4,1.0,,0,0,A,
c-orsha,1990-2020,T4,1.0,,0,0,A,
c-pastavy,1990-2020,TX,1.0,,0,0,A,
c-pietrykau,1990-2020,T4,1.0,,0,0,A,
c-pinsk,1990-2020,T1,1.0,,0,0,A,
c-polack,1990-2020,T1,1.0,,0,0,A,
c-pruzhany,1990-2020,T4,1.0,,0,0,A,
c-rahachou,1990-2020,T4,1.0,,0,0,A,
c-rechyca,1990-2020,T4,1.0,,0,0,A,
c-salihorsk,1990-2020,T1,1.0,,0,0,A,
c-shchuchyn,1990-2020,TX,1.0,,0,0,A,
c-shklou,1990-2020,TX,1.0,,0,0,A,
c-skidziel,1990-2020,T4,1.0,,0,0,A,
c-slonim,1990-2020,T1,1.0,,0,0,A,
c-sluck,1990-2020,T1,1.0,,0,0,A,
c-smalavichy,1990-2020,T1,0.889,T2,0,0,A,
c-smarhon,1990-2020,T1,1.0,,0,0,A,
c-staryja-darohi,1990-2020,TX,1.0,,0,0,A,
c-stolin,1990-2020,T1,1.0,,0,0,A,
c-stoubcy,1990-2020,T1,0.889,T2,0,0,A,
c-svietlahorsk,1990-2020,T4,1.0,,0,0,A,
c-talachyn,1990-2020,T4,1.0,,0,0,A,
c-uzda,1990-2020,T1,0.889,T2,0,0,A,
c-valozhyn,1990-2020,T4,1.0,,0,0,A,
c-vasilevichy,1990-2020,T4,1.0,,0,0,A,
c-vaukavysk,1990-2020,T1,0.889,T2,0,0,A,
c-viciebsk,1990-2020,TX,1.0,,0,0,A,
c-vietka,1990-2020,T4,1.0,,0,0,A,
c-vilejka,1990-2020,T4,1.0,,0,0,A,
c-zaslauje,1990-2020,TX,1.0,,0,0,A,
c-zhabinka,1990-2020,T1,1.0,,0,0,A,
c-zhlobin,1990-2020,T1,1.0,,0,0,A,
c-zhodzina,1990-2020,T1,1.0,,0,0,A,
c-zhytkavichy,1990-2020,TX,1.0,,0,0,A,
