scenario,year,pop_thousands
SSP1,1950,7926.8
SSP1,1955,7948.7
SSP1,1960,8336.5
SSP1,1965,8819.6
SSP1,1970,9138.7
SSP1,1975,9469.2
SSP1,1980,9787.1
SSP1,1985,10101.6
SSP1,1990,10410.9
SSP1,1995,10472.5
SSP1,2000,10281.4
SSP1,2005,9967.6
SSP1,2010,9745.1
SSP1,2015,9696.5
SSP1,2020,9661.0
SSP1,2025,9406.9
SSP1,2030,9249.7
SSP1,2035,9103.4
SSP1,2040,8972.0
SSP1,2045,8859.5
SSP1,2050,8748.4
SSP1,2055,8620.2
SSP1,2060,8473.1
SSP1,2065,8311.9
SSP1,2070,8141.8
SSP1,2075,7962.9
SSP1,2080,7773.5
SSP1,2085,7573.9
SSP1,2090,7369.7
SSP1,2095,7168.2
SSP1,2100,6966.0
SSP2,1950,7926.8
SSP2,1955,7948.7
SSP2,1960,8336.5
SSP2,1965,8819.6
SSP2,1970,9138.7
SSP2,1975,9469.2
SSP2,1980,9787.1
SSP2,1985,10101.6
SSP2,1990,10410.9
SSP2,1995,10472.5
SSP2,2000,10281.4
SSP2,2005,9967.6
SSP2,2010,9745.1
SSP2,2015,9696.5
SSP2,2020,9661.0
SSP2,2025,9394.6
SSP2,2030,9219.1
SSP2,2035,9052.6
SSP2,2040,8905.8
SSP2,2045,8780.2
SSP2,2050,8661.8
SSP2,2055,8534.4
SSP2,2060,8400.6
SSP2,2065,8261.8
SSP2,2070,8124.7
SSP2,2075,7990.0
SSP2,2080,7855.7
SSP2,2085,7722.3
SSP2,2090,7591.1
SSP2,2095,7458.7
SSP2,2100,7315.1
SSP3,1950,7926.8
SSP3,1955,7948.7
SSP3,1960,8336.5
SSP3,1965,8819.6
SSP3,1970,9138.7
SSP3,1975,9469.2
SSP3,1980,9787.1
SSP3,1985,10101.6
SSP3,1990,10410.9
SSP3,1995,10472.5
SSP3,2000,10281.4
SSP3,2005,9967.6
SSP3,2010,9745.1
SSP3,2015,9696.5
SSP3,2020,9661.0
SSP3,2025,9387.5
SSP3,2030,9201.4
SSP3,2035,9024.4
SSP3,2040,8875.0
SSP3,2045,8748.7
SSP3,2050,8635.3
SSP3,2055,8518.8
SSP3,2060,8406.4
SSP3,2065,8307.1
SSP3,2070,8236.9
SSP3,2075,8202.9
SSP3,2080,8203.3
SSP3,2085,8229.2
SSP3,2090,8268.7
SSP3,2095,8312.6
SSP3,2100,8358.1
